name,url,price,rating,review
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTg2MDU1NDY5NDcxNjU3OjE2ODUxMTc0MDM6c3BfbXRmOjIwMTE1MTA0OTA3ODk4OjowOjo&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_251_sspa%3Fkeywords%3Dbags%26qid%3D1685117403%26sr%3D8-251-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹5,999",4.5 out of 5 stars,592
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTg2MDU1NDY5NDcxNjU3OjE2ODUxMTc0MDM6c3BfbXRmOjIwMTE2ODc5MTczOTk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYQJHXR%2Fref%3Dsr_1_252_sspa%3Fkeywords%3Dbags%26qid%3D1685117403%26sr%3D8-252-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹4,990",4.4 out of 5 stars,80
Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),https://www.amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/ref=sr_1_253?keywords=bags&qid=1685117403&sr=8-253,"₹1,482",4.0 out of 5 stars,1
Lavie Women's Chapada Satchel Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Chapada-Womens-Handbag-Black/dp/B07CT25R4H/ref=sr_1_254?keywords=bags&qid=1685117403&sr=8-254,"₹1,069",3.9 out of 5 stars,"1,270"
NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,https://www.amazon.in/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_255?keywords=bags&qid=1685117403&sr=8-255,₹198,4.1 out of 5 stars,"1,067"
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7DTWLF/ref=sr_1_256?keywords=bags&qid=1685117403&sr=8-256,"₹1,328",4.2 out of 5 stars,"1,390"
F Gear Burner Art Lthr Black 22 Ltrs Laptop Backpack (3344),https://www.amazon.in/F-Gear-Burner-Art-Black-Laptop-Backpack/dp/B085QX7J7R/ref=sr_1_257?keywords=bags&qid=1685117403&sr=8-257,₹752,4.2 out of 5 stars,457
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",https://www.amazon.in/Hammonds-Flycatcher-Brown-Mens-Laptop/dp/B01LYDRI9V/ref=sr_1_258?keywords=bags&qid=1685117403&sr=8-258,"₹2,899",4.4 out of 5 stars,"2,413"
PUMA Laptop Backpack IND II Black-CASTLEROCK,https://www.amazon.in/PUMA-Laptop-Backpack-IND-Black-CASTLEROCK/dp/B08BV2S9K1/ref=sr_1_259?keywords=bags&qid=1685117403&sr=8-259,"₹1,149",4.0 out of 5 stars,72
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 2 Compartments Bag | Travel Purse Hobo Bag | 3 Pockets Shoulder Bag,https://www.amazon.in/Fostelo-Jane-Womens-Handbag-Black/dp/B072VF1GHP/ref=sr_1_260?keywords=bags&qid=1685117403&sr=8-260,₹669,3.8 out of 5 stars,"1,293"
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTg2MDU1NDY5NDcxNjU3OjE2ODUxMTc0MDM6c3BfYnRmOjIwMTEwMTgxNTExMTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_261_sspa%3Fkeywords%3Dbags%26qid%3D1685117403%26sr%3D8-261-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹4,499",4.3 out of 5 stars,168
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTg2MDU1NDY5NDcxNjU3OjE2ODUxMTc0MDM6c3BfYnRmOjIwMTI0MzExMDI0ODk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_262_sspa%3Fkeywords%3Dbags%26qid%3D1685117403%26sr%3D8-262-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,600",4.1 out of 5 stars,440
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTM1NDgxOTM0NTgxNTk5OjE2ODUxMTc0MTY6c3BfYXRmX25leHQ6MjAwMzQzOTk5NjA0OTg6OjA6Og&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_257_sspa%3Fkeywords%3Dbags%26qid%3D1685117416%26sr%3D8-257-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹529,3.9 out of 5 stars,"15,936"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTM1NDgxOTM0NTgxNTk5OjE2ODUxMTc0MTY6c3BfYXRmX25leHQ6MjAwOTI1MjU5Nzk2OTg6OjA6Og&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTCNN75%2Fref%3Dsr_1_258_sspa%3Fkeywords%3Dbags%26qid%3D1685117416%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,₹699,4.0 out of 5 stars,"4,037"
HEROZ Harbour Unisex Nylon 28 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Air Force Blue),https://www.amazon.in/HEROZ-Backpack-Resistant-Notebook-Airforce/dp/B07MCRHSVP/ref=sr_1_259?keywords=bags&qid=1685117416&sr=8-259,₹841,4.1 out of 5 stars,"5,919"
Wooum 36 L Casual Water Resistance Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with 15.6 Inch Laptop Compartment 3 Compartment - Black,https://www.amazon.in/Wooum-Resistance-Backpack-Students-Compartment/dp/B0B5LPVBHR/ref=sr_1_260?keywords=bags&qid=1685117416&sr=8-260,₹474,3.9 out of 5 stars,45
"LOADSHARE Bag cum Backpack for Women for Schools, college and offices Etc.",https://www.amazon.in/LOADSHARE-Backpack-Schools-college-offices/dp/B0C2QBM4YQ/ref=sr_1_261?keywords=bags&qid=1685117416&sr=8-261,₹299,5.0 out of 5 stars,1
Gear ECO 1 Black Orange Red Laptop Backpack,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECO1000109/dp/B012NW1H1I/ref=sr_1_262?keywords=bags&qid=1685117416&sr=8-262,₹759,4.3 out of 5 stars,"1,379"
